id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_1,Marketplace,09-12-2024,T-Shirt,unisex,blue,checks,streetwear,5656,73,31,Europe,img_001.jpg,,flared,cropped,square neck,cap sleeve,knits,1920,books,Bestseller Book Tour 2024
instagram_2,YouTube,19-05-2025,T-Shirt,men,red,checks,formal,4135,55,14639,India,img_002.jpg,,bodycon,full-length,off-shoulder,sleeveless,linen,6276.33,designer launches,Ralph Lauren Spring Collection 2024
instagram_3,YouTube,19-05-2025,T-Shirt,men,red,stripes,casual,4294,258,14048,India,img_003.jpg,,relaxed fit,mini,collared,half sleeve,polyester,6200,designer launches,Ralph Lauren Spring Collection 2025
instagram_4,Marketplace,09-11-2024,Blazer,men,blue,floral,festive,909,369,19320,India,img_004.jpg,,fit,maxi,collared,sleeveless,linen,6866,designer launches,Ralph Lauren Spring Collection 2024
instagram_5,Marketplace,02-02-2024,Jeans,unisex,red,checks,athleisure,5483,102,15633,US,img_005.jpg,,straight cut,knee-length,off-shoulder,half sleeve,rayon,7072.67,cinemas/series/cartoons/anime,Dune 2 Release 2024
instagram_6,Cinema,03-01-2024,T-Shirt,unisex,beige,animal print,casual,3689,165,23315,US,img_006.jpg,,oversized,full-length,crew neck,cap sleeve,polyester,9056.33,trending memes,Galaxy Brain Remix
instagram_7,Celebrities,16-06-2024,T-Shirt,men,"beige, green",tie-dye,athleisure,3542,280,6376,India,img_007.jpg,,relaxed fit,ankle-length,polo neck,sleeveless,denim,3399.33,books,Bestseller Book Tour 2024
instagram_8,Marketplace,21-11-2024,Saree,women,green,solid,festive,2644,143,39490,Europe,img_008.jpg,,bodycon,knee-length,crew neck,3/4 sleeve,knits,14092.33,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_9,Cinema,02-05-2024,Kurta,men,beige,checks,festive,5542,38,41048,US,img_009.jpg,,a-line,midi,halter,full sleeve,polyester,15542.67,trending memes,Cottagecore Revival Meme 2024
instagram_10,Celebrities,26-09-2025,Jeans,men,"white, blue",tie-dye,festive,2948,239,13891,India,img_010.jpg,,oversized,full-length,v-neck,puff sleeve,linen,5692.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_11,Facebook,27-01-2024,Hoodie,unisex,green,tie-dye,streetwear,245,245,33028,US,img_011.jpg,,flared,mini,v-neck,full sleeve,jersey,11172.67,designer launches,Zara Designer Collab 2024
instagram_12,Marketplace,22-09-2024,Kurta,men,yellow,abstract,casual,262,632,78063,Global,img_012.jpg,,straight cut,full-length,halter,full sleeve,linen,26319,trending memes,Cottagecore Revival Meme 2024
instagram_13,YouTube,05-04-2024,Skirt,women,black,stripes,festive,241,78,2400,Global,img_013.jpg,,a-line,cropped,halter,puff sleeve,jersey,906.33,trending memes,Galaxy Brain Remix
instagram_14,Marketplace,28-10-2024,Jeans,men,black,solid,festive,224,120,7681,US,img_014.jpg,,regular,knee-length,off-shoulder,half sleeve,cotton,2675,cinemas/series/cartoons/anime,Barbie Movie 2024
instagram_15,Instagram,25-07-2024,Hoodie,unisex,yellow,tie-dye,streetwear,1158,231,20198,India,img_015.jpg,,fit,mini,square neck,cap sleeve,polyester,7195.67,cinemas/series/cartoons/anime,Barbie Movie 2024
instagram_16,YouTube,11-07-2025,T-Shirt,men,white,tie-dye,festive,2673,59,139,Europe,img_016.jpg,,regular,cropped,collared,bell sleeve,blends,957,event - memes,Super Bowl Halftime Meme 2025
instagram_17,Facebook,13-06-2024,Blazer,men,white,floral,formal,3919,477,34572,Global,img_017.jpg,,fit,ankle-length,v-neck,puff sleeve,denim,12989.33,event - political,India State Elections 2024
instagram_18,Instagram,01-12-2024,Jeans,men,pink,checks,formal,1791,292,19625,Europe,img_018.jpg,,a-line,midi,polo neck,sleeveless,linen,7236,trending memes,Vogue Challenge 2024
instagram_19,Marketplace,17-11-2024,Shirt,men,pink,animal print,festive,7293,27,6091,India,img_019.jpg,,bodycon,knee-length,polo neck,puff sleeve,linen,4470.33,books,Pulitzer Feature 2024
instagram_20,Cinema,28-04-2025,Dress,women,black,graphic prints,streetwear,1827,63,24659,India,img_020.jpg,,relaxed fit,ankle-length,off-shoulder,half sleeve,blends,8849.67,trending memes,Galaxy Brain Remix
instagram_21,YouTube,08-09-2024,Shirt,men,yellow,animal print,streetwear,1045,264,66571,Europe,img_021.jpg,,a-line,ankle-length,polo neck,bell sleeve,viscose,22626.67,event - political,US Presidential Election 2024
instagram_22,Facebook,01-05-2025,Kurti,women,blue,animal print,streetwear,3326,260,483,India,img_022.jpg,,flared,knee-length,collared,half sleeve,rayon,1356.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_23,YouTube,20-05-2024,Skirt,women,blue,polka dots,formal,4727,122,46011,US,img_023.jpg,,a-line,maxi,square neck,cap sleeve,knits,16953.33,designer launches,Zara Designer Collab 2024
instagram_24,Facebook,24-01-2024,Kurta,men,green,polka dots,streetwear,2480,221,2459,Global,img_024.jpg,,oversized,maxi,halter,half sleeve,blends,1720,trending memes,Distracted Boyfriend Revival
instagram_25,Marketplace,09-07-2024,Jacket,unisex,blue,checks,athleisure,6194,117,9148,India,img_025.jpg,,oversized,midi,v-neck,cap sleeve,jersey,5153,books,Bestseller Book Tour 2024
instagram_26,YouTube,08-07-2024,Blazer,men,blue,animal print,athleisure,12294,319,4166,Global,img_026.jpg,,straight cut,ankle-length,halter,half sleeve,denim,5593,franchise,Marvel Phase 5 Release 2024
instagram_27,Instagram,28-03-2024,Sweatshirt,unisex,pink,stripes,festive,1890,5,5422,Europe,img_027.jpg,,oversized,mini,v-neck,half sleeve,polyester,2439,trending memes,Distracted Boyfriend Revival
instagram_28,Facebook,15-05-2024,Kurti,women,"white, blue",graphic prints,formal,2772,97,47970,Global,img_028.jpg,,regular,maxi,crew neck,3/4 sleeve,blends,16946.33,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_29,Marketplace,06-11-2024,Dress,women,green,abstract,festive,295,240,2526,Europe,img_029.jpg,,straight cut,maxi,crew neck,half sleeve,linen,1020.33,event - memes,April Fools Viral 2024
instagram_30,YouTube,18-11-2024,Kurta,men,"pink, black",abstract,casual,4873,483,52350,Global,img_030.jpg,,fit,maxi,polo neck,3/4 sleeve,rayon,19235.33,books,Bestseller Book Tour 2024
instagram_31,Instagram,10-10-2024,T-Shirt,men,beige,checks,festive,7733,65,3622,Europe,img_031.jpg,,regular,midi,boat neck,cap sleeve,blends,3806.67,designer launches,Ralph Lauren Spring Collection 2024
instagram_32,Cinema,13-11-2024,Blazer,men,green,graphic prints,casual,4770,204,42268,Europe,img_032.jpg,,bodycon,full-length,off-shoulder,sleeveless,rayon,15747.33,cinemas/series/cartoons/anime,Dune 2 Release 2024
instagram_33,Instagram,30-04-2024,Jeans,unisex,red,graphic prints,festive,3302,138,9607,US,img_033.jpg,,Slim fit,midi,off-shoulder,sleeveless,denim,4349,cinemas/series/cartoons/anime,Dune 2 Release 2024
instagram_34,Marketplace,12-10-2024,Jeans,men,red,tie-dye,athleisure,1013,117,13765,Europe,img_034.jpg,,regular,mini,halter,cap sleeve,polyester,4965,trending memes,Cottagecore Revival Meme 2024
instagram_35,Celebrities,06-04-2025,Saree,women,blue,graphic prints,streetwear,4364,73,22629,Europe,img_035.jpg,,flared,maxi,crew neck,bell sleeve,knits,9022,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
