id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_20,Cinema,2025-04-28,Dress,women,black,graphic prints,streetwear,1827,63,24659,India,img_020.jpg,,relaxed fit,ankle-length,off-shoulder,half sleeve,blends,8849.67,trending memes,Galaxy Brain Remix
instagram_380,YouTube,2025-03-17,Dress,women,green,tie-dye,casual,665,94,28048,Europe,img_380.jpg,,relaxed fit,mini,square neck,bell sleeve,denim,9602.33,trending memes,Galaxy Brain Remix
instagram_414,Instagram,2025-09-01,Dress,women,green,graphic prints,casual,1235,630,34794,Global,img_414.jpg,,straight cut,midi,collared,sleeveless,polyester,12219.67,designer launches,Prada SS 2025
instagram_702,Facebook,2025-03-20,Dress,women,"white, beige",polka dots,casual,2578,341,1169,Global,img_702.jpg,,oversized,knee-length,off-shoulder,bell sleeve,polyester,1362.67,trending memes,Galaxy Brain Remix
instagram_759,Cinema,2025-08-23,Dress,women,yellow,abstract,streetwear,6784,235,23549,US,img_759.jpg,,bodycon,ankle-length,collared,cap sleeve,knits,10189.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_956,Marketplace,2025-06-16,Dress,women,pink,checks,festive,2418,326,9473,US,img_956.jpg,,a-line,cropped,halter,cap sleeve,blends,4072.33,franchise,Star Wars New Trilogy 2025
instagram_1002,Marketplace,2025-07-26,Dress,women,"red, yellow, black",checks,festive,2994,218,20610,Europe,img_1002.jpg,,a-line,ankle-length,collared,3/4 sleeve,knits,7940.67,designer launches,Prada SS 2025
instagram_1341,YouTube,2025-04-04,Dress,women,pink,animal print,athleisure,2517,326,18611,India,img_1341.jpg,,oversized,ankle-length,square neck,cap sleeve,blends,7151.33,trending memes,Galaxy Brain Remix
instagram_1352,Facebook,2025-06-27,Dress,women,black,animal print,formal,912,321,18331,Europe,img_1352.jpg,,straight cut,knee-length,collared,cap sleeve,rayon,6521.33,event - memes,Super Bowl Halftime Meme 2025
instagram_1366,Celebrities,2025-03-22,Dress,women,black,solid,formal,1067,127,38929,India,img_1366.jpg,,flared,ankle-length,square neck,bell sleeve,cotton,13374.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_1429,YouTube,2025-04-29,Dress,women,beige,abstract,streetwear,2382,83,5790,US,img_1429.jpg,,oversized,maxi,crew neck,half sleeve,denim,2751.67,franchise,Star Wars New Trilogy 2025
instagram_1541,Instagram,2025-05-30,Dress,women,yellow,polka dots,casual,1476,48,12782,US,img_1541.jpg,,bodycon,ankle-length,halter,3/4 sleeve,viscose,4768.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_1558,Celebrities,2025-08-30,Dress,women,white,polka dots,streetwear,3802,108,30734,Global,img_1558.jpg,,bodycon,mini,off-shoulder,bell sleeve,knits,11548.0,books,Book-to-Film Adaptation 2025
instagram_1671,Celebrities,2025-08-26,Dress,women,pink,graphic prints,streetwear,9090,17,48222,Global,img_1671.jpg,,Slim fit,full-length,square neck,cap sleeve,jersey,19109.67,designer launches,Dior Haute 2025
instagram_1712,Facebook,2025-04-01,Dress,women,green,solid,casual,3180,257,18331,Europe,img_1712.jpg,,bodycon,mini,boat neck,sleeveless,polyester,7256.0,designer launches,Prada SS 2025
instagram_1787,Marketplace,2025-05-25,Dress,women,"yellow, blue",animal print,streetwear,3505,297,9038,Europe,img_1787.jpg,,oversized,midi,polo neck,bell sleeve,jersey,4280.0,franchise,Star Wars New Trilogy 2025
instagram_1832,Cinema,2025-07-31,Dress,women,black,tie-dye,festive,610,176,6816,Europe,img_1832.jpg,,fit,mini,crew neck,sleeveless,denim,2534.0,franchise,Star Wars New Trilogy 2025
